Bitacora de Multichat
Fecha|                   |Correo|                            |Comando|   |Resultado|    |Host|                   |UserAgent|                       |Remote Address
2016-09-23 01:22:37       |nesty@localhost       |54789632 noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:28:37       |nesty@localhost       |58746358 noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:34:05       |nesty@localhost       |58746358 noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:38:36       |nesty@localhost       |55467853 noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:40:22       |nesty@localhost       |58742314*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:40:34       |nesty@localhost       |SMS   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:42:24       |nesty@localhost       |58796354*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:42:24       |nesty@localhost       |SMS   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:46:55       |nesty@localhost       |58796354*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:46:56       |nesty@localhost       |SMS   |Message has been sent            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
2016-09-23 01:48:02       |nesty@localhost       |58796354*noti   |Entrada            |127.0.0.1             |Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.89 Safari/537.36                       |127.0.0.1 
